ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE01,2025-09-11,30.351826,36.708744049072266,2025-09-01
VE0101,2025-09-11,30.351826,36.708744049072266,2025-09-01
VE02,2025-09-11,80.96395,71.7306900024414,2025-09-01
VE0201,2025-09-11,76.60445,69.1635971069336,2025-09-01
VE0202,2025-09-11,92.879684,87.36628723144531,2025-09-01
VE0203,2025-09-11,78.452,70.05146789550781,2025-09-01
VE0204,2025-09-11,92.378395,75.65311431884766,2025-09-01
VE0205,2025-09-11,89.57084,75.39591979980469,2025-09-01
VE0206,2025-09-11,94.295074,72.0638656616211,2025-09-01
VE0207,2025-09-11,73.779274,70.742431640625,2025-09-01
VE03,2025-09-11,44.61127,36.14506149291992,2025-09-01
VE0301,2025-09-11,43.06805,35.52983474731445,2025-09-01
VE0302,2025-09-11,44.783398,36.606571197509766,2025-09-01
VE0303,2025-09-11,41.018692,38.5543098449707,2025-09-01
VE0304,2025-09-11,42.114094,38.239261627197266,2025-09-01
VE0305,2025-09-11,44.66624,36.04070281982422,2025-09-01
VE0306,2025-09-11,40.716995,38.33608627319336,2025-09-01
VE0307,2025-09-11,45.298836,36.73226547241211,2025-09-01
VE0308,2025-09-11,45.540623,35.45787811279297,2025-09-01
VE0309,2025-09-11,43.67258,37.83918762207031,2025-09-01
VE0310,2025-09-11,47.64428,40.59635543823242,2025-09-01
VE0311,2025-09-11,44.648525,35.539119720458984,2025-09-01
VE0312,2025-09-11,43.97995,37.41762924194336,2025-09-01
VE0313,2025-09-11,43.62825,35.92266082763672,2025-09-01
VE0314,2025-09-11,44.003433,38.99696350097656,2025-09-01
VE0315,2025-09-11,47.29503,36.613914489746094,2025-09-01
VE0316,2025-09-11,39.128895,35.876953125,2025-09-01
VE0317,2025-09-11,44.66941,36.040321350097656,2025-09-01
VE0318,2025-09-11,44.78599,35.58617401123047,2025-09-01
VE0319,2025-09-11,44.7083,36.37022399902344,2025-09-01
VE0320,2025-09-11,47.790417,38.777984619140625,2025-09-01
VE04,2025-09-11,79.47725,65.35691833496094,2025-09-01
VE0401,2025-09-11,77.62957,62.9500617980957,2025-09-01
VE0402,2025-09-11,71.587944,56.45163345336914,2025-09-01
VE0403,2025-09-11,64.69429,65.59390258789062,2025-09-01
VE0404,2025-09-11,77.55389,68.40833282470703,2025-09-01
VE0405,2025-09-11,81.732605,65.48822784423828,2025-09-01
VE0406,2025-09-11,80.91567,69.80748748779297,2025-09-01
VE0407,2025-09-11,72.09636,51.15950012207031,2025-09-01
VE05,2025-09-11,43.25442,40.369178771972656,2025-09-01
VE0501,2025-09-11,42.462852,42.04140090942383,2025-09-01
VE0502,2025-09-11,45.51393,39.57000732421875,2025-09-01
VE0503,2025-09-11,41.06767,41.33907699584961,2025-09-01
VE0504,2025-09-11,41.399677,42.9390869140625,2025-09-01
VE0505,2025-09-11,42.144367,41.507537841796875,2025-09-01
VE0506,2025-09-11,41.542637,39.34632873535156,2025-09-01
VE0507,2025-09-11,40.730595,42.10221481323242,2025-09-01
VE0508,2025-09-11,42.84959,42.633487701416016,2025-09-01
VE0509,2025-09-11,46.305344,41.61952209472656,2025-09-01
VE0510,2025-09-11,44.126026,41.38664627075195,2025-09-01
VE0511,2025-09-11,41.77994,41.75177001953125,2025-09-01
VE0512,2025-09-11,41.7734,42.06882858276367,2025-09-01
VE0513,2025-09-11,40.95157,41.878211975097656,2025-09-01
VE0514,2025-09-11,37.989944,39.30385208129883,2025-09-01
VE0515,2025-09-11,44.69996,38.837669372558594,2025-09-01
VE0516,2025-09-11,41.442554,41.31704330444336,2025-09-01
VE0518,2025-09-11,41.605316,41.160587310791016,2025-09-01
VE06,2025-09-11,61.054,55.178016662597656,2025-09-01
VE0601,2025-09-11,57.262093,54.724552154541016,2025-09-01
VE0602,2025-09-11,60.268658,57.373165130615234,2025-09-01
VE0603,2025-09-11,64.69022,57.16196823120117,2025-09-01
VE0604,2025-09-11,59.369896,53.12498092651367,2025-09-01
